"zone";"volume_building_dcmix_hr";"volume_building_dcmix_lr";"volume_building_dcmix_mr";"volume_building_irh";"volume_building_light";"volume_building_sdr_hr";"volume_building_sdr_lr";"volume_building_sdr_mr";"volume_building_sky"
-9999;0;0;0;0;0;0;0;0;0
0;1459581,10557556;942182,225952148;4853858,44244385;27021197,9491425;3134601,10699081;39134,6003417969;15214930,2655029;7888101,09777832;530988
1;0;33878,197265625;183114,6875;18273475,5;4526225,625;0;39828374;6629436,75;0
2;0;26144,6015625;98283,1875;6567433,09375;1762384,12402344;0;15465385,9765625;2560267,80078125;0
3;71108,796875;15668;434572,21875;10603567;2219834,25;25058,19921875;19116476;3653263,75;0
4;22235,69921875;28416,197265625;475734,65625;9125045,46875;3734309,84375;25620,8984375;28538025,3125;4723522,078125;0
5;200723,203125;347121,53125;3218950,5;23429454;3681629,25;8526,099609375;31706066;7431941,5;0
6;0;149598,893341064;535345,791503906;16040434,9375;9999983,1875;0;61748510,875;10057879,9257812;0
7;0;17186,69921875;258228,203125;6468424;1526099,875;828,900024414062;13394867;2535031,5;0
8;8139,80029296875;98218,5859375;361406,09375;3622724,79980469;1818337,1640625;0;10647893,3125;1590738,15234375;0
9;82981,6953125;11344,599609375;563207;6110982;1985772,25;2146;14365427;2614725,5;0
10;0;26760,8984375;371416,71875;4009286,5;1689215,375;1972,19995117188;13871544;1938589,25;0
11;0;9,89999961853027;46038,1015625;5859133;4163741,75;0;16522414;2159754,75;0
12;0;84,1000061035156;3788,7001953125;3559970,25;3015971,75;0;18416762;1456265,5;0
13;0;0;0;6492683,375;4979295,375;0;31980701;1335722,984375;0
14;10271,7001953125;27200,19921875;1156833,625;19794304;3938168,5;0;32957222;2396958,25;0
15;0;29552,49609375;180680,09375;11526151;3956955,75;0;29819304;1743324,875;0
16;0;28461,498046875;212258,1875;3087531,25;1870442,75;2999,69995117188;15664849;1901497,125;0
17;0;549,599975585938;61153,40234375;3814844,75;2600750,75;0;19644972;702240,5;0
18;54676,49609375;55497,6953125;1571945,25;11625486;4327217,5;18327,5;34013516;3499578,5;0
19;9870,2998046875;45125,30078125;775380;13120851;4371277;2584,80004882812;32895384;4010336,75;0
20;0;18670,298828125;345717,40625;6511320,5;3218671,75;3609,89990234375;26640246;2759933,75;0
21;0;8250,5;684126,625;11762439;1239863,125;0;10703410;1293274,25;0
22;0;453,899993896484;3503,69995117188;4889775;2419160,5;0;14409830;618491,1875;0
23;0;11606,7001953125;133860,375;4576676;2509668,5;0;18595248;927146,25;0
24;862,399963378906;39987,09765625;240268,40234375;8382251,79980469;5101929,71875;0;27947721,375;1374129,984375;0
25;0;908,899963378906;74389,296875;7272511,5;2755999,25;0;20781448;1281378,75;0
26;7510,400390625;43949,00390625;1381046,75;9823721;2200182;0;19314554;8619388;0
27;0;7090,10009765625;147329,296630859;9153257,375;4091850,125;0;26795005,6000977;4254843,625;0
28;0;1670,80004882812;45520,30078125;10220371;3242119,00292969;0;23518560,578125;5704317,29980469;0
29;63422,703125;19415,900390625;1895006,25;15142173;2719588,25;0;23762352;7939789,5;0
30;8813,30078125;1595,30004882812;116064,3046875;12032325,40625;3968758,8359375;74260,796875;27021845,59375;6217444,30078125;0
31;0;9833,8994140625;48347,6953125;14374941,199707;3227455,75024414;43128,80078125;22770908,2929688;3920087,59960938;0
32;82514,9921875;3901,10009765625;337136,84375;16511527,3984375;3800638,09375;239969,703125;30883861,234375;4926232,80078125;0
33;0;4690,7998046875;29763;7033803,25;3220964,9375;0;25650659;2305611,25;0
34;0;122,100006103516;218147,53125;12823356,5;2827586,375;21791,6015625;24372469;2554948,75;0
35;0;7841,7998046875;102584,203125;8415371,625;3033802,21875;0;25498212,5;1398871,03125;0
36;2321,69995117188;21418,701171875;55351,7021484375;6664603,125;1738432,125;0;14289365,75;1135078,5625;0
37;0;940,800048828125;144255,8125;4293160;2290450,25;0;19763176;2346015;0
38;0;32740,001953125;218937,421875;7118581;2817328,5;0;24035390;1332790,125;0
39;209760,609375;17773,1005859375;898061,5078125;11615926;5384248,5;0;42030194;3188689,375;0
40;2295;4531,2998046875;558000,375;9444722;1875898,875;53918,59765625;16591294;3713073,5;0
41;0;0;85191,1953125;15905328,7998047;4087821,75195312;0;27789886,3125;4150879,1484375;0
42;3146,40014648438;5719,69989776611;195086,284423828;9299098;3633209,15625;109867,203125;25549635,375;6105743,84375;0
43;59860,90234375;19992,30078125;386522,84375;8245731,5;2046715,5;245,600006103516;17887126;1908540,875;0
44;6646,2998046875;15118,80078125;631273,5625;11888922;3108758,75;66818,1015625;27150584;6221381;102765
45;60402,3984375;0;181890,96875;8205271,5;1972793,375;52438,3984375;17016336;6805476,5;0
46;4931;3590,60009765625;482015,703125;10031280,8125;3119708,0625;19850,400390625;25994694,5;6369827;0
47;0;0;68106,4921875;4443274;1960552,25;6272;17170188;4597128,5;0
48;296506,875;2655,2998046875;1824430,625;8637687;1190373,125;37550,80078125;10606018;8867429;0
49;279,200012207031;3800,7001953125;567684;11850967;3212359;58600;23605280;3464632,75;0
50;407897,28125;123296,6015625;1347110,625;9032424;3596348;36966,09765625;27348574;5586761,5;0
51;96983,3046875;13393,7001953125;914180,5625;13272561;1894906,5;43784,3984375;15980072;3738359,75;0
52;11024,7001953125;36774,09375;159078,828125;8966563;2857846,75;5991,2998046875;21916472;2640642;0
53;0;46023,30078125;599067,6875;6922876;1846515,125;0;15691851;2808042;0
54;105658,9921875;17378,498046875;2297587,25;10609750,8984375;4022218,39453125;3972,60009765625;31134536,375;4829852,5;0
55;0;2456,50004577637;131495,3125;4916088,7421875;2944054,109375;0;23317439,875;1663627,34765625;0
56;247153,796875;4203,50048828125;205456,921875;7557638,5;3518112,75;2460;20749370;2407264,5;0
57;4495,7998046875;36970,8994140625;514583,11328125;17940526;3612207,75;0;25436830;4805913,625;0
58;0;108923,421875;837345,25;9508488;3272629,5;0;26395360;6316194,5;0
59;5615,60009765625;15475,80078125;190835,2890625;13384306,75;2949558,9375;21502,599609375;23185662,5;3447964,75;0
60;0;40508,69921875;920019,8125;7325430;2461562,44921875;0;19981484,4921875;3574296,40039062;0
61;89864,1953125;269424,25;741742,5;13200009;1943089,625;2416;16555260;2924390,25;0
62;0;67596,984375;317023,1875;10281624;3213650,25;0;26925082;5057918,5;0
63;3096,80004882812;5635,30004882812;283874,0078125;11130105,875;2954469,375;6242,60009765625;22021760;4837054,5;0
64;0;396578,8125;732590,625;10514684;1834782;2979,19995117188;15943602;3918787,75;0
65;125289,1875;62847,109375;2052485,75;16457997;3846914;82996,1953125;29533198;9112818;0
66;0;421875,15625;636291,8125;9140542;2259623;0;19099794;2628962,25;0
67;772690,125;236648,46875;3853163,5;23058544;3244922;153732,828125;27378208;10151150;0
68;157522,5;58699,0078125;469039,25;8279314,5;2459799;28742,900390625;18708180;6310316;0
69;0;89310,4921875;103647,8984375;5965278;1837533,375;0;15563692;3051412,5;0
70;88658,3046875;298491,21875;1284321,75;18605704;3231824,25;62241,60546875;27378072;5299148;0
71;0;2442,69995117188;690302,1875;19455832,25;3598639,75;0;28968386;5609758,875;0
72;0;15455,69921875;218199,609375;12483097;4207986;0;30319352;4068348;0
73;9871;2690,89990234375;62178,6015625;11984486;2865682,75;0;25100904;2963103;0
74;52040,3984375;35076,1015625;1493848,875;18430448;4319967;11752,7001953125;37193392;7593460;0
75;0;24855,19921875;260029,6875;16764416;3310830,5;5555,2998046875;27258112;4267019,5;0
76;15838,400390625;190280;797402,1875;15382086;3434471,75;0;29214676;4709194,5;0
77;21851,30078125;18368,201171875;664963;7622297,19067383;1998376,95941162;20975,900390625;15639444,8745117;2563766,7421875;0
78;0;36659,59765625;149699,09375;21157622,5;2900438,125;3008,60009765625;24357030,75;3893212,875;0
79;11465,5;35231,69921875;251184,8125;3868052;1427470,25;7177,89990234375;12677840;2905744;0
80;92805,609375;2429,60009765625;903086,1875;13830684,5;2161154,70019531;2140,39990234375;16155743,0009766;4022177,75;0
81;85252,9921875;82806,2060546875;464858,4375;19942002,5;6810066,375;0;43825318,5;6462355,75;110880
82;409285,84375;30527,201171875;2796932;10834249;2017841,25;65998,5;17744822;6062669;0
83;0;2201,09999084473;56777,8984375;13614857,75;4663922,875;19259,7995605469;33048645,5;3281726,375;0
84;169378,21875;980,099975585938;480765,1875;19350566;3404887,5;4068,89990234375;25644920;3975524;0
85;0;30383,697265625;679586,5625;17466755,75;4477233,1875;21166,09765625;35138071,75;6802989,0625;0
86;35338,6015625;24855,3046875;349620,375;12698382;4172268,5;19499;29198090;3779406,75;0
87;0;0;3884,69979858398;17199331,5;5757049,5;0;33632932;1897531,4375;0
88;41272,3984375;34965,80078125;186054,109375;10114422;4539231;1256;33849904;1986209,625;0
89;31721,201171875;128870,1015625;464663,125;10398410;3044759,75;0;21605372;2143158;0
90;74620,1015625;137483,5;964482,25;19870342,7109375;6295067,0625;2356,5;39071285,25;3839927,39941406;0
91;2370;13344,7978515625;97084,1015625;8786528,921875;4907543,9375;15983,400390625;29339608,96875;1971864,92578125;0
92;520147,34375;34924,296875;3287462,5;14925325;2627557,75;182325,609375;23058890;8748078;0
93;0;0;39117,5;11904472,5;5022840,11279297;0;34530233;2076881,46875;0
94;179033,296875;62513,390625;2114730,75;21872334;1375138,625;5385,400390625;11735479;2933025,5;0
95;5457,39990234375;138264,5;213122,171875;19827576;2982790,75;2340;23636556;3137597,75;0
96;0;0;44823,001953125;14189782,25;2726871,4375;0;22227247;5371593,625;0
97;81482,5;10201,2001953125;1137933,875;13253514;2515697,25;0;21552210;5631050,5;0
98;176464,203125;33327,8984375;3272024,5;33025670;4538390,5;43352,3984375;39964260;12678966;0
99;0;512,799987792969;12983,900390625;8455981;3168967,25;0;25327196;2748804;0
100;2179,2001953125;1050,50012207031;137303,203125;14957050;2062881;49674,5;16407786;4307963,5;0
101;0;34824;204875,921875;5987854;2554951;0;18604660;2801512;0
102;0;1773;26988,498046875;19622102;6217140,3999939;0;35704558,5999756;6346893,5;0
103;69923,1953125;113957,0078125;1422158,2734375;18247822,5;6157620,75;21352,5;42554958;9151304,75;0
104;0;14314,4013671875;16259,6010742188;6273574,625;2900444,125;0;19254505,5;3798934,5625;0
105;0;0;0;12394183;4046244,75;50725,69921875;21643120;3576068,75;0
106;0;330582,03125;4081350,75;10713486;3733791,75;0;25986212;8319589;0
107;1290947;25929;2530782,3125;18487367,5;3310878,625;9081,7998046875;22014327;3934894,125;0
108;86824,3046875;88905,2890625;635231,3125;16598616;2978541;19584,19921875;25878198;4662396,5;0
109;1412823,25;41972,0986328125;1052108,59375;21790619;3786798,25;37051,1015625;29845147;6062376;0
110;0;10352,9990234375;453675,375;7233259,5;2657639;0;23302318;3057835,25;0
111;2528,40014648438;24025,19921875;219203,109375;7003320;3001110,75;0;26156262;3124684,5;0
112;9163;26895,1015625;1026195,8125;9439952;2351880,5;0;20420896;4212272;0
113;264560,09375;26071,0009765625;702064;16214603,25;3847552,875;405,5;30753128;6568474,5;0
114;515432,8125;6856,89990234375;471016,84375;10382648,1875;3348371,2265625;6367,400390625;28152480,125;3751216,96875;0
115;239677,98828125;66170,6970214844;708830,859375;23110961;4250076,625;37643,19921875;32776297;6229214,625;0
116;27710,701171875;279707,5;1755271,25;13031092;2810457,75;16045,298828125;24535456;8302906;0
117;0;729,900024414062;31020,396484375;9687520;4328205;0;33562528;3325853,75;0
118;0;29167,203125;26212,798828125;14066087,875;4061729,90625;0;29071851,625;2866740,625;0
119;0;2274;65190,5;10845257,1499023;3795937,82421875;0;26773563,4023438;2950470,67504883;0
120;0;1172,59997558594;100604,015625;12741840;4417481,5;0;32994496;10230261;0
121;0;134,399993896484;2816,80004882812;15614852,25;4883172,625;2235,60009765625;31436888,5;2604244,40625;0
122;18888,80078125;50054,40234375;418379,087890625;18229710;6471106;116908,8046875;45224952;7418618;0
123;0;31492,8984375;562021,6875;8316031,5;3775202;0;28921650;5744379,5;0
124;209050,59375;11282,80078125;122577,0078125;4475555;1799435,375;0;12174560;990904,625;0
125;346305,40625;32621,49609375;563059,25;12806991,09375;2356807,34375;3186,19995117188;20779376,765625;3865840,94921875;0
126;592147,25;47785,60546875;3447277,25;23928824;3255049,5;90058;26020460;8917006;0
127;61395,09765625;31673,19921875;990532,828125;12913172;3174458,625;21638;27246376;4963834,625;0
128;31678,599609375;12691,0009765625;843251,0625;12980769,59375;2934112,74023438;11634,7998046875;25538918,3125;5931205,30078125;0
129;0;263,5;74660,4028625488;12251955,4960938;3647688,515625;15621,2001953125;30250414,40625;4049576,59375;0
130;125636,8046875;15501,599609375;1303708,625;20317992,390625;4501970,29492188;23892,001953125;36784558,421875;7444521,703125;0
131;0;13410,2001953125;189422,03125;8420055;3598932;0;28617180;6783321;0
132;23811,8984375;59981,00390625;337941,90625;9908121;1681306,25;0;14872662;2603283;0
133;0;135;9011,2998046875;7383654,70117188;3095860,70703125;0;21013279,03125;708758,062255859;0
134;0;16925,1015625;77762,90625;7782156,6875;2353655,21875;0;15124671,125;2575583,80029297;0
135;367991,6875;57075,69921875;1966073,5;12737612;2808147,75;31374,599609375;24048538;4698037;0
136;294974,78125;28041,4995117188;104395,109375;11604522,203125;4058393,15393066;31012,5;26939954,5092773;1786014,36914062;0
137;0;163204,1875;35100,3984375;15854096,375;3404531,125;16971,400390625;24497416,625;1803406,4375;0
138;212621,515625;30507,001953125;183812,5;12328057,375;4965208,15625;65515,9921875;32387493,25;2029462,0234375;0
139;18023,298828125;21186,5;183176,887451172;11615394,1875;3780218,703125;0;27535008,375;2403001,703125;0
140;0;2831,30004882812;542326,75;6370434,5;3089723,75;9657,7001953125;26692174;9353224;0
141;40859,80078125;0;764272;2401414,75;1569688;38394,69921875;13698399;4483006,5;0
142;29403,701171875;1881,59997558594;1009426,25;7840108;2962776;63,2000007629395;24835008;5862788;0
143;0;0;43915,90234375;4365072,8125;2127470,53125;0;17342941;4390990,890625;0
144;22036,30078125;0;457695,07421875;4957007,4375;2810968,953125;7507,00048828125;24343749,75;4016683,25;0
145;30,8999996185303;3721,7001953125;176076,359375;5818631;1749962,625;15139,599609375;15146803;4488376;0
146;98645,1953125;5373,39990234375;809895,6875;7189074,5;1877817,25;17280,701171875;16227201;4392887,5;0
147;0;6893,5;567496;5474468,5;2035419,375;10306,2998046875;18014838;2209989,25;0
148;0;0;6465,5;2142590,5625;2140984,375;0;16797454,5;1420716,09375;0
149;0;7796,2001953125;36745,19921875;4030453,5;2817518,203125;0;23303712,109375;2519998,5;0
150;617363,4375;80006,3984375;1195692,875;4913208,5;1746302,5;96481,796875;15364760;2843443,25;0
151;103119,7109375;7675,599609375;503078,25;20222280;2036162,375;5811,2001953125;17387520;3067034,5;0
152;0;27509,900390625;1084714,375;12823743;2986546,5;4883,900390625;26304462;7712094;0
153;401655,03125;34008,203125;885893,0625;20393270;2929773;24280,6015625;24466138;5857875,5;0
154;3145,7998046875;5828,80029296875;479431,90625;16486574;4623961;388,800018310547;36646084;5267168;0
155;208606,109375;75203,3125;1748124,625;15298278;3589676,75;28713,80078125;30726284;8780846;0
156;0;31612,80078125;101454,1015625;5177622,5;2012998,625;0;10390886;503223,03125;0
157;0;10486,201171875;79507,3046875;8678263;4974243,5;0;29076732;1303392,5;0
158;0;17596,6015625;19550,298828125;8590700,140625;4538458,9296875;0;24901833,5;2644904,953125;0
159;646166,8125;5535,60009765625;504690,84375;18528070;1775783,75;101692,7109375;15116416;3351860;0
160;94818,296875;0;485287,9375;8161255;4038679;12117;28498124;4688991;0
161;3118,5;10589,1005859375;296877,59375;7191214;3416586,25;0;27296216;3450826,75;0
162;0;0;67178,296875;6105372;2789647;0;18544408;2310418,75;0
163;171914,8125;76801,5;1268178,5;15288560,9997559;2285837,10058594;132,800003051758;18142766,9960938;3446334,5;0
164;363633,125;95897,9140625;3290741,25;14810255;2602763,5;27204,400390625;22726326;9116969;0
165;2477221,75;117674,09375;3568175,75;20447510;3644796,25;309163,9375;28851936;7827366,5;0
166;197723,890625;89819,7109375;1882188,25;29066506;4764828,5;30860,798828125;37665884;6971645;0
167;23618,6015625;216910,296875;2047567,5;14055101;2803459,75;16285,5009765625;21871644;6402923,5;0
168;180739,09375;175474,4765625;1230494,453125;25611088;2662946;32916,30078125;23046973;5186626,625;0
169;504739,625;41909,99609375;1167850,125;30109870;4751181;2213,60009765625;40862116;4308323,5;0
170;306720,3125;239160;2618438;24910496;2728782;111089,5078125;23134762;11638354;0
171;13146,1005859375;1392960,85058594;3524794,375;15533391;3143206;8871,599609375;27245668;3880428,375;0
172;619455,3125;90057,484375;6137935;44779868;4872940,5;9352,099609375;42501940;10322598;0
173;62204,09375;56634,8046875;1086038,5;55708423;14475485;12742,3994140625;95659140;13963419,5;0
174;335830,3125;392723,8125;4560400,5;24593464;3732850;37586,30078125;32206564;8862406;0
175;1294337;164194,390625;9327890;36758540;5674418;80912,59375;43984680;9146911;0
176;113722,0078125;14468,30078125;2277398,75;20703682;4531969;243760,21875;36084608;14328928;0
177;941263,6875;139334,625;4017359,75;31446408;4754043;140206,703125;42060020;12661035;0
178;2478873,75;589462,375;14984259;31646868;5330672;252607,796875;47370912;26032112;237838
179;0;855,599975585938;5582,70007324219;5365250,625;1579259,0625;0;11796920;2165522,9375;0
180;3319633,25;265207,59375;10320678;29600604;4890229;217931,984375;43026476;18295574;0
181;18008,5;228025,921875;1547307,75;27014058,796875;8703217,4765625;0;64183192,71875;13356734,515625;0
182;30130,5;12180;1437344,25;34801340;4117769,25;31919,998046875;34962448;8432527;0
183;48655;213841,609375;2956331,75;35318124;4786663,5;15610,7998046875;42030532;15083385;0
184;163272,3125;0;2956211;8809945;3965878,25;120323,703125;32279068;27614826;0
185;4661556,5;34741,40234375;11345947;43426848;6342973;607016,5625;54259860;62892904;210196
186;225815,734375;17380,5;374003,21875;18137662,9023438;6264227,88750458;87551;49582800,7375488;6950268;0
187;5843,7001953125;0;116381,5;36218337,75;7213752,5625;60027,2998046875;58220841;23424506,625;0
188;671992,25;113987,609375;3239749,5;26857950;4490992,5;19725,30078125;39282048;18274602;61074
189;89794,2890625;104727,5;380346,3125;5163121,1015625;3090979,1953125;11826,19921875;26912551,0625;7764868,90039062;0
190;418616,53125;139891,859375;2147386,75;6858476,5;3928647;47584,796875;34638988;6909485;0
191;262797,1875;72576,8984375;1372418,375;14852383,90625;3586937,125;58452,09765625;31398623,25;5917991,8125;0
192;200514,09375;636000,5;3610233,25;29766348;5042913;80869,796875;42503140;7462092;0
193;814590;5406,2998046875;2554865;30306472;4399337,5;135738,59375;38323284;13887800;0
194;752375,5625;47807,40625;4326571,5;16880826;3066467;97585,1875;27291740;17105476;0
195;207476,09375;30309,796875;1276449,875;8491667;3900989,25;69062,6015625;33838500;4435105,5;0
196;260898,1875;72612,59375;589670,75;27552648;3118623,75;3027,59985351562;23975910;2887354;0
197;49526,8046875;157290,4375;1665859,875;18355382,6875;4776267,80078125;17823,19921875;39720849,21875;10865253,0976562;0
198;28519,80078125;24,9000015258789;460581,625;9131973;2427773,25;18431,1015625;21468918;3225230,25;0
199;0;5512,49951171875;126574,413085938;19128881,5625;4360183,09375;8544,900390625;33068294,125;3737707,359375;0
